base_color,app_color,delta_e,diff_ranking
#F5003D,#00F020,90.61735742311988,1
#F5003D,#C1FF05,79.71876331561869,2
#F5003D,#38FFFF,73.92230587604935,3
#F5003D,#FFE119,61.418021138643084,4
#00F020,#A000D1,109.54604049495023,1
#00F020,#FF24F4,107.66820514224241,2
#00F020,#F5003D,90.61735742311988,3
#00F020,#1A4BFF,74.42291750072944,4
#FFE119,#A000D1,88.31187933047454,1
#FFE119,#1A4BFF,85.51778189445167,2
#FFE119,#FF24F4,82.69644436955038,3
#FFE119,#F5003D,61.418021138643084,4
#1A4BFF,#C1FF05,99.18522879297694,1
#1A4BFF,#FFE119,85.51778189445167,2
#1A4BFF,#00F020,74.42291750072944,3
#1A4BFF,#FF8229,59.73294909814251,4
#FF8229,#00F020,62.28111343487704,1
#FF8229,#1A4BFF,59.73294909814251,2
#FF8229,#A000D1,57.73123383764126,3
#FF8229,#38FFFF,56.32934015135417,4
#A000D1,#00F020,109.54604049495023,1
#A000D1,#C1FF05,103.29603294289375,2
#A000D1,#FFE119,88.31187933047454,3
#A000D1,#38FFFF,62.406874102341064,4
#38FFFF,#F5003D,73.92230587604935,1
#38FFFF,#A000D1,62.406874102341064,2
#38FFFF,#FF24F4,57.7378724397086,3
#38FFFF,#1A4BFF,56.565963114164234,4
#FF24F4,#00F020,107.66820514224241,1
#FF24F4,#C1FF05,99.1243847356234,2
#FF24F4,#FFE119,82.69644436955038,3
#FF24F4,#38FFFF,57.7378724397086,4
#C1FF05,#A000D1,103.29603294289375,1
#C1FF05,#1A4BFF,99.18522879297694,2
#C1FF05,#FF24F4,99.1243847356234,3
#C1FF05,#F5003D,79.71876331561869,4
#FFB8B8,#00F020,61.922795094885146,1
#FFB8B8,#C1FF05,53.84362816949838,2
#FFB8B8,#008080,51.86554597763264,3
#FFB8B8,#38FFFF,50.06699765240139,4
#008080,#F5003D,58.85033205113575,1
#008080,#FFB8B8,51.86554597763264,2
#008080,#FF8229,50.927869790051034,3
#008080,#FFE119,50.70096776963475,4
#E6BEFF,#C1FF05,70.30516404082711,1
#E6BEFF,#FFE119,60.171761311641504,2
#E6BEFF,#00F020,51.18901066364133,3
#E6BEFF,#008080,44.726152396837755,4
